IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
19274;CEU EMEF CANDIDA DORA PINO PRETINI, PROFA;SAO MATEUS;SAO RAFAEL;48,5544781;1;4;2;4,6;4,2;4,5;3,4
19276;CEU EMEF TRES LAGOS;CAPELA DO SOCORRO;GRAJAU;50,92031781;2;5;4;4,6;4,2;4,4;4,1
19305;EMEF JOAO DA SILVA;CAPELA DO SOCORRO;GRAJAU;48,99770307;1;3;1;4,4;4,2;4,3;3,4
19347;EMEF JARDIM DA CONQUISTA;PIRITUBA;PERUS;49,6281958;2;3;3;4,8;4,2;4,6;4,1
19349;EMEF JARDIM DAMASCENO I - PROFESSOR JOAO ANTONIO FELICIO;FREGUESIA/BRASILANDIA;BRASILANDIA; - ; - ; - ; -;3,7;4,2;4,1;3,7
19349;EMEF JARDIM DAMASCENO I - PROFESSOR JOAO ANTONIO FELICIO;FREGUESIA/BRASILANDIA;BRASILANDIA;47,6163814;1;3;1;3,7;4,2;4,1;3,7
19350;EMEF JOSE HERMINIO RODRIGUES, CEL. PM;FREGUESIA/BRASILANDIA;BRASILANDIA;47,78728298;1;3;1;4,5;4,2;4,2;3,5
19460;EMEF JOSE CARLOS NICOLETO - ZITO, PROFESSOR;SAO MATEUS;SAO RAFAEL;46,79620404;1;3;1;4,9;4,2;4,2;3,8
19463;EMEF ESTACAO JARAGUA;PIRITUBA;JARAGUA;50,02632091;2;3;3;4,1;4,2;4,6;3,6
19673;EMEF LIA - MARIA DOS REIS DE JESUS SOUZA SILVA, PROFA.;CAPELA DO SOCORRO;GRAJAU;48,51482447;1;3;1;3,9;4,2;-;-
92703;EMEF THEODOMIRO DIAS, DES.;BUTANTA;VILA SONIA;48,94091556;1;3;1;4;4,2;4,4;3,5
92711;EMEF DEODORO DA FONSECA, MAL.;BUTANTA;BUTANTA;52,71586905;3;6;6;5,2;4,2;5,0;4,7
92801;EMEF IBRAHIM NOBRE;BUTANTA;RIO PEQUENO;48,38301996;1;3;1;3,6;4,2;3,6;2,5
93106;EMEF DILERMANDO DIAS DOS SANTOS;PIRITUBA;VILA LEOPOLDIN;48,81426743;1;3;1;4,4;4,2;4,1;3,0
93394;EMEF TEODOMIRO TOLEDO PIZA, DES.;CAPELA DO SOCORRO;GRAJAU;47,00048234;1;6;2;4,3;4,2;4,4;3,4
93602;EMEF RODRIGO MELLO FRANCO DE ANDRADE;SAO MATEUS;SAO MATEUS;50,70822059;2;3;3;4,1;4,2;4,0;3,2
93769;EMEF PEDRO DE FRONTIN, ALM.;SAO MIGUEL;SAO MIGUEL;49,26165012;1;5;2;4,1;4,2;4,4;3,8
93998;EMEF ABRAO DE MORAES, PROF.;PENHA;ARTUR ALVIM;50,07650755;2;3;3;5,3;4,2;4,9;4,1
94234;EMEF THEO DUTRA;FREGUESIA/BRASILANDIA;BRASILANDIA;48,93450122;1;3;1;5,4;4,2;4,5;3,4
94561;EMEF EUCLIDES CUSTODIO DA SILVEIRA, DES.;PIRITUBA;SAO DOMINGOS;52,99358303;3;3;5;4,6;4,2;5,1;5,0
94862;EMEF ALBERTO SANTOS DUMONT;JACANA/TREMEMBE;VILA MEDEIROS;48,98829738;1;3;1;4;4,2;3,5;3,1
95397;EMEF MARLENE RONDELLI, PROFA.;IPIRANGA;SAO LUCAS;49,12979227;1;3;1;4,7;4,2;4,6;4,0
95427;EMEF ALVARES DE AZEVEDO;IPIRANGA;SAO LUCAS;51,10273052;2;3;3;5,5;4,2;5,1;4,2
95508;EMEF BRASILIO MACHADO NETO;SAO MATEUS;SAPOPEMBA;48,24174696;1;3;1;4,3;4,2;3,5;3,2
99791;EMEF PLINIO SALGADO;CAPELA DO SOCORRO;GRAJAU;47,84667081;1;6;2;5,7;4,2;4,6;4,2
8842;EMEF SEBASTIAO FRANCISCO, O NEGRO;ITAQUERA;PARQUE DO CARM;47,99603612;1;3;1;3,9;4,3;4,4;3,3
10103;EMEF FRANCISCO ALVES MENDES FILHO - CHICO MENDES;ITAQUERA;CIDADE LIDER;47,42892631;1;3;1;4,1;4,3;4,2;3,5
12688;EMEF ULYSSES DA SYLVEIRA GUIMARAES;CAPELA DO SOCORRO;PARELHEIROS;49,00085162;1;3;1;4,7;4,3;4,4;3,7
14699;EMEF ANTONIO DAVILA, PROF.;GUAIANASES;CIDADE TIRADEN;51,60186611;2;3;3;4,7;4,3;4,5;4,0
15423;EMEF PRESTES MAIA;SANTO AMARO;CIDADE ADEMAR;49,98871396;2;3;3;4,2;4,3;4,4;4,2
